model,friction,mean_dx,min_dx,max_dx,mean_len,mean_rew,survived
v30_bodysmooth_dr,1.0,50.48,0.78,66.01,1744.0,56204.0,23/30
v30_bodysmooth_dr,0.7,56.36,5.8,64.88,1850.0,63091.0,25/30
v30_bodysmooth_dr,0.5,53.95,0.55,65.16,1800.0,60163.0,25/30
v30_bodysmooth_dr,0.3,53.85,10.7,64.69,1754.0,60681.0,22/30
v30_v20_dr,1.0,61.16,16.47,72.0,1838.0,74151.0,25/30
v30_v20_dr,0.7,56.48,7.96,71.1,1746.0,67828.0,22/30
v30_v20_dr,0.5,51.48,2.8,71.77,1587.0,62347.0,20/30
v30_v20_dr,0.3,49.43,10.34,70.21,1571.0,58970.0,17/30
v30_v6trig_dr,1.0,35.09,6.56,71.15,1542.0,42107.0,19/30
v30_v6trig_dr,0.7,37.06,1.93,71.2,1755.0,43571.0,23/30
v30_v6trig_dr,0.5,35.13,6.53,71.23,1738.0,41748.0,21/30
v30_v6trig_dr,0.3,39.58,9.59,70.5,1748.0,47128.0,21/30
